id,title,description,image_url,trailer_url,start_to_end_time,rating,release_at,created_at,updated_at
125,Pyaar Ka Punchnama 2,"After falling in love, three roommates experience changes in their lives.",,,04:00:00,,2015,,
126,Ajab Prem Ki Ghazab Kahani,"The wacky adventures of a young man who is willing to sacrifice his own love to insure the happiness of others, even trying to get the girl of his dreams married to the guy of her dreams.",,,04:00:00,,2009,,
127,Secret Superstar,A talented teenage singer-songwriter living amid domestic abuse becomes a YouTube sensation after a video in which she hides her identity goes viral.,,,04:00:00,,2017,,
128,Taare Zameen Par,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",,,04:00:00,,2007,,
129,Tees Maar Khan,"Posing as a movie producer, a conman attempts to trick an entire village into helping him rob a treasure-laden train.",,,04:00:00,,2010,,
130,Queen,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.,,,04:00:00,,2013,,
131,Wanted,"Radhe is a ruthless gangster who will kill anyone for money. He is attracted towards Jhanvi, a middle class girl, who does not approve of his work and wants him to change.",,,04:00:00,,2009,,
132,Race,Destiny makes two brothers- Ranvir and Rajiv - enemies of each other. Everything is fair in love and war.,,,04:00:00,,2008,,
133,Udta Punjab,A story that revolves around drug abuse in the affluent north Indian State of Punjab and how the youth there have succumbed to it en-masse resulting in a socio-economic decline.,,,04:00:00,,2016,,
134,Raanjhanaa,"Kundan, the son of a Hindu pundit, discovers that his childhood sweetheart Zoya loves city-bred Akram and wants to marry him. However, he persistently seeks to win her heart.",,,04:00:00,,2013,,
135,Partner,"A 'Love Guru' assists other males, woos a widowed single mother, but becomes embroiled in controversies.",,,04:00:00,,2007,,
136,Mere Brother Ki Dulhan,A quirky rom-com where Kush finds the ideal Indian bride Dimple for his brother Luv and a series of comical and unpredictable events follow.,,,04:00:00,,2011,,
137,Mary Kom,"A chronicle of the life of Indian boxer Mary Kom, who went through several hardships before audaciously accomplishing her ultimate dream.",,,04:00:00,,2014,,
138,Once Upon a Time in Mumbaai,"As a smuggler rises to power in in 1970s Mumbai, a younger gangster seeks to overthrow him and a police officer is caught in the middle.",,,04:00:00,,2010,,
139,Jaane Tu... Ya Jaane Na,Two best friends being convinced that they are not in love search for each other's love.,,,04:00:00,,2008,,
140,Yamla Pagla Deewana,A married Canadian travels to India to re-unite with his estranged father and brother but faces obstacles and challenges.,,,04:00:00,,2011,,
141,Dilwale Dulhania Le Jayenge,"When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt.",,,04:00:00,,1995,,
142,Rang De Basanti,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",,,04:00:00,,2006,,
143,Heropanti,Two young people find love despite the violent landscape in which they live.,,,04:00:00,,2014,,
144,Ki & Ka,"Follows a young, married couple whose relationship challenges the gender roles placed upon women and men in Indian society.",,,04:00:00,,2016,,
145,102 Not Out,"102 Not Out is a 2018 comedy-drama film, with legendary actor Amitabh Bachchan playing a 102-year-old wanting to break the oldest-man-alive record. Another Bollywood legend Rishi Kapoor plays his sad and grumpy 75-year-old son.",,,04:00:00,,2018,,
146,Fanaa,A sweet blind girl Zooni meets a flirty Rehan. She ignores her friends' warnings. It's her time to discover life. Is she making the right love choice?,,,04:00:00,,2006,,
147,Hate Story 3,Siya appears to be the bone of contention between warring businessmen Aditya and Saurav. But this one runs deeper than your average love triangle.,,,04:00:00,,2015,,
148,Delhi Belly,Three struggling room-mates unknowingly become potential prey of a ruthless gangster.,,,04:00:00,,2011,,
149,Kahaani,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.",,,04:00:00,,2012,,
150,Golmaal Returns,"A man is sandwiched between his over possessive wife and a police inspector, where he is suspected for adultery and murder.",,,04:00:00,,2008,,
151,Main Tera Hero,"Seenu and Sunaina fall in love with each other when he saves her from a corrupt policeman who wishes to marry her. Meanwhile, Ayesha, a girl Seenu meets on a train journey, wants to marry him.",,,04:00:00,,2014,,
152,Badlapur,Raghu begins walking a fine line between good and evil as he exacts violent revenge on two criminals who killed his family 15 years ago.,,,04:00:00,,2015,,
153,Kis Kisko Pyaar Karoon,"A comedy or errors, wherein a married man attempts to juggle his three wives along with his current girlfriend.",,,04:00:00,,2015,,
154,Bhool Bhulaiyaa,"An NRI and his wife decide to stay in his ancestral home, paying no heed to the warnings about ghosts. Soon, inexplicable occurrences cause him to call a psychiatrist to help solve the mystery.",,,04:00:00,,2007,,
155,Murder 2,An ex-cop is hired by a pimp to find missing call girls and the man responsible behind their abduction.,,,04:00:00,,2011,,
156,Mardaani 2,A 21-year old boy Sunny has a penchant for sexually assaulting and killing girls. He's locked horns with top cop Shivani Shivaji Roy. Will she nab him?,,,04:00:00,,2019,,
157,Heyy Babyy,Three bachelors who are compulsive womanizers find their lives turned upside down when a baby is left at their doorstep. The trio suspect each other of being the father.,,,04:00:00,,2007,,
158,Koi... Mil Gaya,"A developmentally disabled young man tries to continue the work his father did in communicating with extra-terrestrials from outer space, which leads to something miraculous and wonderful.",,,04:00:00,,2003,,
159,Kuch Kuch Hota Hai,"During their college years, Anjali was in love with her best-friend Rahul, but he had eyes only for Tina. Years later, Rahul and the now-deceased Tina's eight-year-old daughter attempts to reunite her father and Anjali.",,,04:00:00,,1998,,
160,Ragini MMS 2,A sleazy film director's decision to shoot his latest erotic horror movie in a notorious haunted house angers the vengeful spirit of its past inhabitant.,,,04:00:00,,2014,,
161,Shuddh Desi Romance,A romantic comedy which tells the journey of three restless young people who junk society's syllabus for finding love and decide to follow their heart.,,,04:00:00,,2013,,
162,Hichki,"Suffering from Tourette Syndrome, Naina gets assigned a class of defiant students and must ensure that her students realise their potential.",,,04:00:00,,2018,,
163,October,A group of interns are going through the usual grind when suddenly an accident changes their lives. The protagonist can't get let go of it and becomes obsessed with it. What does it all lead to? Is it love or something else?,,,04:00:00,,2018,,
164,Ishaqzaade,A love story of a passion ignited by hatred. Of two people. Born to hate. Destined to love.,,,04:00:00,,2012,,
165,Guru,"A villager, Gurukant Desai, arrives in Bombay 1958, and rises from its streets to become the GURU, the biggest tycoon in Indian history.",,,04:00:00,,2007,,
166,New York,A contemporary story of 3 friends discovering a new world set against the larger than life New York City. But one day the world around them changed.,,,04:00:00,,2009,,
167,No Entry,"Kishan and Sunny's life are troubled after their womanizing friend Prem sets them up with a hooker named Bobby, leading to web of lies and confusions.",,,04:00:00,,2005,,
168,Double Dhamaal,Four slackers decide to avenge their humiliation at the hands of a con-man.,,,04:00:00,,2011,,
169,Kaho Naa... Pyaar Hai,A young girl meets the doppelganger of her deceased boyfriend and now has a chance to find the people who have murdered him.,,,04:00:00,,2000,,
170,Ek Villain Returns,The story of two men in one sided love. The paths they choose to fulfill their love stories decide who the Hero is and who is the Villain.,,,04:00:00,,2022,,
171,I Hate Luv Storys,"Jay doesn't believe in love Stories, and Simran, is a girl who's in love with the idea of Love itself.",,,04:00:00,,2010,,
172,Shubh Mangal Saavdhan,"In this remake of Kalyana Samayal Saadham (2013), a couple fall in love but then the groom discovers that he suffers from erectile dysfunction.",,,04:00:00,,2017,,
173,Veer-Zaara,"""Veer-Zaara"" is a saga of love, separation, courage, and sacrifice. A love story that is an inspiration and will remain a legend forever.",,,04:00:00,,2004,,
174,Jannat 2,A dealer of illegal guns is bullied into being an informer for a cop who wants to put an end to this racket.,,,04:00:00,,2012,,
175,Mohabbatein,"A film about the battle between love and fear, between two stubborn men and their opposing beliefs and the outcome of the love stories of 3 couples.",,,04:00:00,,2000,,
176,Devdas,"After his wealthy family prohibits him from marrying the woman he is in love with, Devdas Mukherjee's life spirals further and further out of control as he takes up alcohol and a life of vice to numb the pain.",,,04:00:00,,2002,,
177,Devdas,The scion of a wealthy landowner family turns to alcohol and self-pity and slowly self-destructs after class differences force him to break off his relationship with his childhood sweetheart.,,,04:00:00,,1955,,
178,Chashme Baddoor,"When pretty new neighbor Seema falls for their shy roommate Sid, jealous womanizers Omi and Jai plot to break up the new lovebirds.",,,04:00:00,,2013,,
179,Atithi Tum Kab Jaoge?,A couple's married life is turned upside down when a distant relative overstays in their home.,,,04:00:00,,2010,,
180,Phir Hera Pheri,"Baburao, Raju and Shyam are living happily after having risen from rags to riches. Still, money brings the joy of riches and with it the greed to make more money. And so, with a don as an unknowing investor, Raju initiates a new game.",,,04:00:00,,2006,,
181,Bhagam Bhag,"The members of a drama troupe fall in trouble when they are framed for a murder. Things go worse when they find their actress committing suicide, which is somehow linked with the murder.",,,04:00:00,,2006,,
182,Yaariyan,A college student must win an inter college competition to save his college from being demolished by property builders.,,,04:00:00,,2014,,
183,Antim: The Final Truth,The cop played by Salman fights the land mafia in the film.,,,04:00:00,,2021,,
184,Border,"In 1971, along the border region of Longewala, a small battalion of Indian soldiers goes up against a large Pakistani strike force.",,,04:00:00,,1997,,
185,Kal Ho Naa Ho,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her.",,,04:00:00,,2003,,
186,Main Hoon Na,"An army major goes undercover as a college student. His mission is both professional and personal: to protect his general's daughter from a radical militant, and to find his estranged half-brother.",,,04:00:00,,2004,,
187,Namastey London,"A man takes his thoroughly-British daughter to his home country, India. There, he arranges her marriage to someone she considers a fool. The daughter attempts to outwit them, but the groom quietly and patiently hatches his own plan.",,,04:00:00,,2007,,
188,Tanu Weds Manu,"Manu comes to India to find a bride and falls for Tanu at first sight, but free-spirited Tanu has no plan to marry him.",,,04:00:00,,2011,,
189,Bachna Ae Haseeno,"Raj is a heartbreaker. His love stories with Mahi, Radhika, and Gayatri finally teach him about love and life in their own sweet, sexy, and sassy ways.",,,04:00:00,,2008,,
190,Fukrey,"The paths of four dream-chasing college friends cross with an array of colourful characters, from a tough-talking Punjabi female don to a Jugaad Baaz college watchman. Mayhem ensues.",,,04:00:00,,2013,,
191,Bunty Aur Babli,"A small-town pair become the legendary Bunty and Babli, turning the world on its head caper after caper--until they meet a very upset police officer.",,,04:00:00,,2005,,
192,Tumhari Sulu,Sulu is an ambitious housewife with a loving husband and a happy family. Things start changing for her when she accidentally lands a job as a radio jockey and her show becomes an instant hit.,,,04:00:00,,2017,,
193,Mardaani,"A story of Shivani Shivaji Roy, Crime Branch, who sets out to confront the mastermind behind a child trafficking mafia.",,,04:00:00,,2014,,
194,Vicky Donor,"A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic.",,,04:00:00,,2012,,
195,Dil To Pagal Hai,"A grand musical about three passionate and dreamy characters: Rahul, Pooja and Nisha. Will their dreams come true? Will they find their true love?",,,04:00:00,,1997,,
196,English Vinglish,"A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English.",,,04:00:00,,2012,,
197,Lagaan: Once Upon a Time in India,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,,,04:00:00,,2001,,
198,Bareilly Ki Barfi,"Set in the small-town of Bareilly, Bitti is a free-spirited young girl who lives life on her own terms and refuses to be pressured into getting married. Her life takes a shift when she meets Chirag Dubey and Pritam Vidrohi.",,,04:00:00,,2017,,
199,Dhamaal,"Four lazy slacker conmen buddies who are jobless, homeless and broke learn about the secret of a hidden treasure from a dying thief and later embark on a race against time to find the mobster's buried treasure and claim it while being pursued by a determined police inspector who is hellbent to get the treasure all by himself.",,,04:00:00,,2007,,
200,Uunchai,"Three friends take a trek to the Everest Base Camp. A simple trek turns out to be a personal, emotional and spiritual journey as they battle their physical limitations and discover the true meaning of freedom.",,,04:00:00,,2022,,
201,Jolly LLB,"Wanting to earn fame and fortune, a small time lawyer files a PIL for an infamous hit-and-run, and thus learns what it really is like to be a lawyer.",,,04:00:00,,2013,,
202,NH10,"On their way to a weekend retreat, a married couple find their dream vacation turn into a nightmare when they cross paths with a dangerous gang.",,,04:00:00,,2015,,
203,Dhoom,"Dhoom reinvents the classic cops and robbers tale for the 21st century. Fast bikes, big action, and non-stop fun make for a thrilling story.",,,04:00:00,,2004,,
204,Vivah,"Poonam, a traditionally brought-up young woman, is to marry Prem, a groom chosen by her uncle. Poonam and Prem's faith and love are to be tested however, when an accident occurs and Poonam might be scarred for life.",,,04:00:00,,2006,,
205,Jab We Met,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.,,,04:00:00,,2007,,
206,Talvar,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.,,,04:00:00,,2015,,
207,Paa,A father tries to help his son cope with a rare condition that causes the young boy to age beyond his years.,,,04:00:00,,2009,,
208,Jism 2,"Izna, a porn star, is tasked by an Indian Intelligence Agency to seduce her ex-boyfriend Kabir, a dreaded assassin, in order to steal vital information relating to his sleeper cell contacts.",,,04:00:00,,2012,,
209,Dum Laga Ke Haisha,Prem and his oversized wife Sandhya are supposed to spend a lifetime together. Will a regular arranged marriage turn out to be a perfect mismatch?,,,04:00:00,,2015,,
210,Golmaal: Fun Unlimited,Four runaway crooks take shelter in a bungalow which is owned by a blind couple.,,,04:00:00,,2006,,
211,Mujhse Shaadi Karogi,"Sameer, fast at losing his temper is re-located to Goa where he falls in love with Rani. But Sameer's new roommate Sunny, has some plans of his own.",,,04:00:00,,2004,,
212,Garam Masala,A rib tickling tale of two flirts who constantly flirt with women despite one of them being engaged. Chaos ensues when the fiancé finds out that her to-be groom is cheating on her.,,,04:00:00,,2005,,
213,Ferrari Ki Sawaari,How the pursuit of an Indian cricket legend's Ferrari makes a young boy's dreams of playing cricket at Lords a reality.,,,04:00:00,,2012,,
214,Doctor G,"Uday Gupta finds himself as the lone male resident in the Gynaecology department. His reluctance leads to chaos, confusion, comedy and eventually, great camaraderie with his fellow classmates.",,,04:00:00,,2022,,
215,Wake Up Sid,"The story of a lazy Mumbai college student who does absolutely nothing, with a turn of events will Sid realize his potential in this world and become a success in the fast-paced life of Mumbai.",,,04:00:00,,2009,,
216,No One Killed Jessica,"A journalist, who is more of an activist teams up with the sister of a murdered model, as she gets interested in the case and wants to bring justice to her case.",,,04:00:00,,2011,,
217,Jawaani Jaaneman,A 40 year-old playboy's life turns upside down when he comes to know that he has a 20 something year-old daughter.,,,04:00:00,,2020,,
218,Tadap,Unforeseen circumstances threaten the passionate relationship between star-crossed lovers.,,,04:00:00,,2021,,
219,Malamaal Weekly,"Lilaram sells lottery tickets and one customer has hit the jackpot but dies of shock upon finding out that he has won. Now, Lilaram wants all the money, and so does everyone around him.",,,04:00:00,,2006,,
220,Salaam Namaste,A quirky take on life and relationships that looks at a fairy tale with a bit of a squint and an endearing look at what being in love really means.,,,04:00:00,,2005,,
221,Karan Arjun,Karan and Arjun reincarnate in the different parts of the country. But the faith of their previous mother brings them together in order to avenge their death.,,,04:00:00,,1995,,
222,Dhobi Ghat,"The lives of four people intersect in Mumbai: a washer-man who wants to become an actor, a banker-turned-photographer, a painter looking for inspiration, and a newly-married immigrant who journals her experiences on home video.",,,04:00:00,,2010,,
223,Rock On!!,Four friends reunite to relive their moments of glory as a rock band.,,,04:00:00,,2008,,
224,Ishq,"Two rich friends, hating the poor, were challenged by their children's love lives. Thus starts the war between love and money.",,,04:00:00,,1997,,
225,Hum Dil De Chuke Sanam,"Nandini has to choose between Sameer, the man who taught her to fall in love; and Vanraj, the man from whom she learnt how to abide and fulfill promises of love.",,,04:00:00,,1999,,
226,Munna Bhai M.B.B.S.,A gangster sets out to fulfill his father's dream of becoming a doctor.,,,04:00:00,,2003,,
227,Pardes,"Kishorilal wants an Indian bride for his westernised son. He gets him engaged to Ganga, his friend's daughter, and brings her to USA. But she shares a deeper bond with Arjun, Kishorilal's foster son.",,,04:00:00,,1997,,
228,Chandigarh Kare Aashiqui,"Manu, a bodybuilder from Chandigarh, India, falls in love with Maanvi, a Zumba teacher. All seems well until a revelation causes turmoil in their love story.",,,04:00:00,,2021,,
229,Taal,"Businessman Manav falls for aspiring singer Mansi, but their romance faces an uphill climb when Manav must depart and Mansi's suave manager moves in.",,,04:00:00,,1999,,
230,Rocketry: The Nambi Effect,"Based on the life of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994. Though free, he continues to fight for justice against the officials who falsely implicated him.",,,04:00:00,,2022,,
231,Hum Tum,A novel look at the eternal battle of the sexes and the trials and tribulations of Karan and Rhea and their attempts to understand each other.,,,04:00:00,,2004,,
232,Raaz,"Sanjana and Aditya decide to give their marriage one last chance. They plan a holiday in Ooty, but they don't know that a strange figure is waiting for them to come.",,,04:00:00,,2002,,
233,Soldier,The story follows a young man (Bobby Deol) who flees India and arrives in Australia seeking vengence for something that started in India. In Australia he meets and falls in love with the daughter of a rich and powerful man(Suresh Oberoi). The story keeps the covers on Bobby Deols plan until the end when everything is revealed as to why he is a SOLDIER.,,,04:00:00,,1998,,
234,Baghban,"An elderly couple wish their children to care for them in their old age. But their children see and treat them as a burden, and they must struggle to regain their worth and dignity to themselves and others.",,,04:00:00,,2003,,
235,Rangeela,"A middle class young woman, who dreams of Bollywood fame, is caught in a love triangle between her childhood friend and a famous actor.",,,04:00:00,,1995,,
236,Masti,"Bored of their wives, best friends, Meet, Prem and Amar, reunite after three years and decide to have an affair - but instead become the prime suspects in a murder investigation.",,,04:00:00,,2004,,
237,Raja,"Raja and Madhu fall in love and decide to get married. However, her brothers are against the alliance and devise a plan to drive the two apart.",,,04:00:00,,1995,,
238,Hulchul,"A man and woman from feuding families each pretend to fall in love, as part of a revenge plot. Chaos ensues when their fake romance becomes a reality.",,,04:00:00,,2004,,
239,Agni Sakshi,Newly married Suraj and Shivangi are on honeymoon where they meet Vishwanath - who claims that Shivangi is his wife.,,,04:00:00,,1996,,
240,Chalte Chalte,A man pursues a woman who is already engaged and eventually gets married to her. Differences between the two lead to a bitter separation that threatens to destroy their relationship forever.,,,04:00:00,,2003,,
241,Chalte Chalte,"Geeta and Anil meet, gets acquainted with each other only to fall in love; they then get married but on their wedding night Anil is killed by bandits leaving a devastated Geeta who goes ...                See full summary »",,,04:00:00,,1976,,
242,Lipstick Under My Burkha,"In order to be independent and break free from the conservative society, four women sets on a journey to discover freedom and happiness.",,,04:00:00,,2016,,
243,Bade Miyan Chote Miyan,"With their contrasting personalities and maverick methods, Bade Miyan and Chote Miyan need to overcome their differences and labor together to transport the offenders to impartiality and preserve the day.",,,04:00:00,,2024,,
244,Bade Miyan Chote Miyan,"Arjun and Pyare Mohan are honest policemen who work together. Trouble follows when thieves Bade Miyan and Chote Miyan, look-alikes of Arjun and Pyare, commit crimes and the hapless duo are blamed for it.",,,04:00:00,,1998,,
