id,title,description,release_at,rating
98,Bo Burnham: Inside,"A new comedy special shot and performed by Bo Burnham, alone, over the course of the past year.",2021,TV-MA
99,Ghost Lab,"After witnessing a haunting in their hospital, two doctors become dangerously obsessed with obtaining scientific proof that ghosts exist.",2021,TV-MA
100,Soy Rada: Serendipity,"The delightful Argentine comic Agustín Aristarán (aka Soy Rada) is back, this time putting the spotlight on family and parenting, magic and music.",2021,TV-MA
101,Ahaan,"Jilted by his wife, a man with OCD finds eye-opening common ground and camaraderie with his neighbor, a young man with Down Syndrome.",2021,TV-MA
102,Cinema Bandi,A struggling rickshaw driver’s life takes a rollicking turn when he comes upon an expensive camera and decides to make a film with his fellow villagers.,2021,TV-MA
103,Nayattu,Three police officers become pawns for unscrupulous lawmakers when they are framed in an incident amid political elections and must flee to evade arrest.,2021,TV-MA
104,The Disciple,"Self-doubt, sacrifice and struggle converge into an existential crisis for a devoted classical vocalist as the mastery he strives for remains elusive.",2021,TV-MA
105,Ajeeb Daastaans,Four shorts explore the surprising ways in which unexpected catalysts inflame the uncomfortable emotions simmering under fractured relationships.,2021,TV-MA
106,Irul,"When a car breakdown forces a couple to seek shelter in a nearby home, conversations with the stranger inside soon suggest there’s a killer among them.",2021,TV-MA
107,The Girl on the Train,A troubled divorcée fixates on a seemingly ideal couple from afar until a shocking observation sends her spiraling straight into a knotty murder case.,2021,TV-MA
108,Tribhanga - Tedhi Medhi Crazy,"When her estranged mother falls into a coma, a self-made single mom grapples with regret and resentment while reflecting on their strained relationship.",2021,TV-MA
109,Thimmarusu,"Eight years after a young man is framed for murder, an up-and-coming lawyer re-opens the case, beginning a tricky mission to find the real culprit.",2021,TV-14
110,99 Songs,"Challenged to compose 100 songs before he can marry the girl he loves, a tortured but passionate singer-songwriter embarks on a poignant musical journey.",2021,TV-14
111,Sardar Ka Grandson,"A devoted grandson’s mission to reunite his ailing grandmother with her ancestral home turns into a complicated, comic cross-border affair.",2021,TV-14
112,Milestone,"Recently marking 500,000 kilometers on the road, a newly bereaved trucker faces the threat of losing the job that has come to define him to a new intern.",2021,TV-14
113,Searching For Sheela,Journalists and fans await Ma Anand Sheela as the infamous former Rajneesh commune’s spokesperson returns to India after decades for an interview tour.,2021,TV-14
114,Tuesdays & Fridays,"To avoid the burden of commitment, a young lawyer and a writer agree to be romantic partners only two days a week. That won’t get complicated — right?",2021,TV-14
115,Roohi,"Hired to kidnap a bride, two bumbling pals face a wacky predicament when one falls for their abductee — and the other, for the spirit possessing her.",2021,TV-14
116,Mandela,"Amid a local election with two rivals vying to win by any means necessary, a barber lands in a curiously powerful position as the single deciding vote.",2021,TV-14
117,C/O Kaadhal,"Cutting across conventions and expectations, four brave love stories blossom in this Tamil remake of the 2018 Telugu film ""Care of Kancharapalem.”",2021,TV-14
118,Aelay,"A son stoically returns to his village upon his father’s death, recalling their chilly dynamic before a bizarre event disrupts his visit.",2021,TV-14
119,Red,"A murder investigation leads police to a photo of a suspect, but when two men are found with faces that match the picture, the case gets doubly tricky.",2021,TV-14
120,The White Tiger,The ambitious driver for a rich Indian family uses his wit and cunning to escape from poverty and become an entrepreneur. Based on the bestselling novel.,2021,R
121,Bombay Rose,"Amidst the bustle of a magnetic and multifaceted city, the budding love between two dreamers is tested.",2021,PG-13
122,Skater Girl,"When a teen in rural India discovers a life-changing passion for skateboarding, she faces a rough road as she follows her dream to compete.",2021,PG
123,Fukrey Boyzzz: Space Mein Fukrapanti,"After a foreboding dream about aliens comes true, a fun-loving trio must prevent human intelligence from being stolen from planet Earth.",2020,TV-Y7
124,A truthful Mother,"Facing a drought, a hungry tiger and a noble cow have an extraordinary encounter in this fable based on a children’s book and a Kannada folk song.",2020,TV-Y7
125,Time to Dance,"When a ballroom dancer’s shot at a crucial tournament is jeopardized, a street dancer must face his own painful past and step up as her new partner.",2020,TV-PG
126,One,A formidable Kerala chief minister’s party loyalties and personal principles are tested when a damning social media post sparks a heated power struggle.,2020,TV-PG
127,Miss India,"Uprooted to America, an aspiring Indian entrepreneur confronts disapproval, sexism and rivalry as she draws from her culture to start a tea business.",2020,TV-PG
128,Rooting for Roona,"In rural India, a child with hydrocephalus gets a chance at life-changing surgery after her photos go viral. This documentary charts her journey.",2020,TV-PG
129,Kilometers and Kilometers,"When a debt-ridden man reluctantly agrees to drive an American tourist around India, their stark differences lead to bickering… and unexpected bonding.",2020,TV-MA
130,AK vs AK,"After a public spat with a movie star, a disgraced director retaliates by kidnapping the actor’s daughter, filming the search for her in real time.",2020,TV-MA
131,Vir Das: Outside In - The Lockdown Special,Stage banter takes on a different — deeper — meaning as the comedian performs online shows to homebound viewers worldwide from his Mumbai residence.,2020,TV-MA
132,Torbaaz,"At an Afghanistan refugee camp, an ex-army doctor seeks to bring children joy through cricket — and soon realizes that the stakes go beyond the sport.",2020,TV-MA
133,Ludo,"From a resurfaced sex tape to a rogue suitcase of money, four wildly different stories overlap at the whims of fate, chance and one eccentric criminal.",2020,TV-MA
134,Ginny Weds Sunny,"Eager to marry but constantly rejected by women, a bachelor hopes to win over a former crush by accepting help from an unlikely source: her mother.",2020,TV-MA
135,Serious Men,"When a slum dweller spins a web of lies in pursuit of the upward mobility he has long craved, his ruse could be especially dangerous for his young son.",2020,TV-MA
136,Dolly Kitty Aur Woh Chamakte Sitare,"A disillusioned Delhi wife and her new-in-town cousin navigate damning secrets, dreams and their thorny dynamic on their respective roads to freedom.",2020,TV-MA
137,Raat Akeli Hai,"When a newly married landlord is murdered, a misfit cop’s investigation is complicated by the victim’s secretive family and his own conflicted heart.",2020,TV-MA
138,Uma Maheswara Ugra Roopasya,"Defeated and humiliated in a fight while trying to defuse a conflict among his fellow villagers, a photographer vows revenge on his attacker.",2020,TV-MA
139,Krishna and His Leela,"Torn between his past and present girlfriends, a confused bachelor’s indecisiveness spins a web of lies and cheating as he struggles to commit.",2020,TV-MA
140,Bulbbul,"A child bride grows up to be an enigmatic woman presiding over her household, harboring a painful past as supernatural murders of men plague her village.",2020,TV-MA
141,Chaman Bahaar,"A local shop becomes a hub for young men taken with the new neighbor. But as business booms, it may leave the equally smitten storeowner heartbroken.",2020,TV-MA
142,Axone,"In Delhi, friends from Northeast India prepare a pungent delicacy for a wedding party, sparking conflict and comedy with their unaccustomed neighbors.",2020,TV-MA
143,Kenny Sebastian: The Most Interesting Person in the Room,"Fusing his musical and stand-up chops, Kenny Sebastian gets analytical about frumpy footwear, flightless birds and his fear of not being funny enough.",2020,TV-MA
144,What Are the Odds?,"When two unlikely friends play hooky from school, accidental encounters and otherworldly events turn their day into a whimsical coming-of-age journey.",2020,TV-MA
145,Malang,"Years after a police encounter separates him from his lover, an angry young man goes on a killing spree, with an equally vengeful cop on his heels.",2020,TV-MA
146,Mrs. Serial Killer,"When a doctor gets jailed for a string of shocking murders, his loyal wife sets out to commit a copycat crime to prove his innocence.",2020,TV-MA
147,Psycho,"As a visually impaired man attempts to rescue his love interest from a serial killer, the dark story behind the murderer’s disturbing psyche emerges.",2020,TV-MA
148,Love Aaj Kal,"When professional ambitions clash with personal feelings for a modern-day couple, a love story from a bygone decade may offer some wisdom.",2020,TV-MA
149,The Lift Boy,"When a lazy young man replaces his father as the elevator operator of a posh residential complex, what he sees as menial work soon takes on new meaning.",2020,TV-MA
150,"Yours Sincerely, Kanan Gill","Revisiting life goals set in a letter written as a teen to his future self, comedian Kanan Gill reports back on if he's lived up to his own expectations.",2020,TV-MA
151,World Famous Lover,"When his frustrated girlfriend decides to leave him, a struggling writer gets down to work on stories of romance he hopes will win her back.",2020,TV-MA
152,SETHUM AAYIRAM PON,"Meeting after many years, a makeup artist and her grandmother revisit tensions from an old family feud that still hang heavy between them.",2020,TV-MA
153,Maska,"Determined to make it in showbiz, an aspiring young actor considers turning his back on the beloved Irani café run by his family for generations.",2020,TV-MA
154,Jai Mummy Di,"Sick of keeping their love a secret from their constantly bickering mothers, a young couple seeks to uncover the cause of the women’s longstanding war.",2020,TV-MA
155,Guilty,"When a college heartthrob is accused of rape by a less popular student, his girlfriend navigates various versions of the story in search of the truth.",2020,TV-MA
156,Yeh Ballet,"Discovered by an eccentric ballet master, two gifted but underprivileged Mumbai teens face bigotry and disapproval as they pursue their dancing dreams.",2020,TV-MA
157,Vir Das: For India,"From the Vedas to Vasco da Gama to vacuous Bollywood plotlines, comedian Vir Das celebrates the history of India with his one-of-a-kind perspective.",2020,TV-MA
158,Ghost Stories,"The directors of Emmy-nominated ""Lust Stories"" (Zoya Akhtar, Anurag Kashyap, Dibakar Banerjee and Karan Johar) reunite for this quartet of thrillers.",2020,TV-MA
159,Shikara,A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp.,2020,TV-14
160,Har Kisse Ke Hisse: Kaamyaab,"After a career of thankless credits, a retired actor returns for a long-awaited leading role but finds he is utterly unprepared for new-age filmmaking.",2020,TV-14
161,Uppena,"The son of a fishing community falls for a village head's daughter, but they face violent opposition from the girl’s doggedly old-fashioned father.",2020,TV-14
162,Madam Chief Minister,"Rising from disadvantage to become a state leader, a tenacious politician learns that with great power comes great responsibility, ruthlessness and risk.",2020,TV-14
163,Indoo Ki Jawani,"A spirited but naive young woman seeks a one-night stand, but after discovering her date’s real identity, things quickly go from casual to complicated.",2020,TV-14
164,Love,The troubling inner workings of a toxic marriage reveal themselves in surprising ways after one of the couple’s feuds spins out of control.,2020,TV-14
165,Andhakaaram,"As a blind librarian, dispirited cricketer and desolate psychiatrist each seek retribution and release, their lives overlap under eerie influences.",2020,TV-14
166,Kaali Khuhi,"When a restless spirit curses a village that has a history of female infanticide, the town's fate lies in the hands of a 10-year-old girl.",2020,TV-14
167,Cargo,"Aboard a spaceship where souls of the deceased are readied for reincarnation, a lone crew member’s rigid existence is disrupted by a spry new assistant.",2020,TV-14
168,Maniyarayile Ashokan,"When his unlucky horoscope doesn’t bode well for his future wife, an earnest bachelor goes to surprising lengths to get the family he’s always wanted.",2020,TV-14
169,Class of '83,"Demoted to an academy job, a cop trains five foolhardy students as assassins in his risky revenge plot against police corruption and the underworld.",2020,TV-14
170,Gunjan Saxena: The Kargil Girl,Flight Lieutenant Gunjan Saxena makes history in her journey from aspiring aviator to India’s first female combat pilot in the Kargil War.,2020,TV-14
171,Door Ke Darshan,"When a matriarch wakes from a 30-year coma, her wacky family frantically recreates a bygone era to keep her from noticing how much time has passed.",2020,TV-14
172,Kappela,"Falling into an over-the-phone romance with a rickshaw driver, a young woman visits his city when an encounter with a stranger derails their meeting.",2020,TV-14
173,Asura Guru,"For a tech-savvy thief, elaborate robberies and evading the police are second nature until a private detective is hired to investigate his latest heist.",2020,TV-14
174,Forensic,"A pair of officers with history navigates clues from the past, false leads and a ticking clock to nab an elusive serial killer who targets young girls.",2020,TV-14
175,Choked: Paisa Bolta Hai,A bank employee weighed down by her jobless husband's debts — and her own broken dreams — finds a secret source of seemingly unlimited cash in her home.,2020,TV-14
176,Chippa,"At midnight on his 10th birthday, a boy scours the lesser-known Kolkata streets in search of a father he’s never met, carrying a letter he can’t read.",2020,TV-14
177,Bheeshma,"Tired of being single, a smart-aleck meme creator has a chance to prove himself to the girl he loves when he is suddenly appointed CEO of her workplace.",2020,TV-14
178,Varane Avashyamund,"At an apartment complex, the lives of a mother, a daughter seeking an arranged marriage, a military retiree and a young man become intertwined.",2020,TV-14
179,Kannum Kannum Kollaiyadithaal,"A carefree racing enthusiast’s womanizing ways end when he meets the girl of his dreams, but their newfound peace is disrupted by a dangerous killer.",2020,TV-14
180,Ala Vaikunthapurramuloo,"After growing up enduring criticism from his father, a young man finds his world shaken upon learning he was switched at birth with a millionaire’s son.",2020,TV-14
181,Shimla Mirchi,"A young man who gets tongue-tied around women writes a love letter to his crush, but it ends up in the hands of her mother, who thinks it's for her.",2020,TV-14
182,The Trial of the Chicago 7,What was supposed to be a peaceful protest turned into a violent clash with the police. What followed was one of the most notorious trials in history.,2020,R
183,Chhota Bheem Kungfu Dhamaka,Chhota Bheem is in China for a martial arts competition but his real challenge: to save the emperor’s daughter from being kidnapped by the villain Zuhu!,2019,TV-Y7
184,Bhai: Vyakti Ki Valli - Uttarardh,"The second installment of P.L. Deshpande’s biopic explores the Marathi humorist’s political journey, philanthropic endeavors and personal life.",2019,TV-PG
185,Mischief,"Mistaking the sleeping passenger on his train for a drunk, a young man posts a picture of him online, unaware of his impulsive act's ugly repercussions.",2019,TV-PG
186,Baby Dolls,"When two sisters travel from Canada to Punjab to visit their maternal family, they discover an opportunity to mend a broken bond with their grandmother.",2019,TV-PG
187,Kaake Da Viyah,"In this zany comedy, a man is torn between the girl he loves and the respective women his warring mother and grandmother have chosen for him to marry.",2019,TV-PG
188,Luka Chuppi,"Pretending to marry in order to cohabitate, a small-town couple lands in endless awkward situations to hide the truth from their orthodox families.",2019,TV-PG
189,Norm of the North: Keys to the Kingdom,"When Norm the polar bear is framed for a crime he didn’t commit, his friends step up to help him clear his name.",2019,TV-PG
190,Norm of the North: King Sized Adventure,"Before planning an awesome wedding for his grandfather, a polar bear king must take back a stolen artifact from an evil archaeologist first.",2019,TV-PG
191,Eeb Allay Ooo!,"Hired as a monkey repeller upon moving to Delhi, a young man struggles to find his footing in his unenviable job and his place in the unforgiving world.",2019,TV-MA
192,Mundina Nildana,"As three young professionals chase their wildly different dreams, their relationships with each other indelibly impact their journeys of self-discovery.",2019,TV-MA
193,Kaagar,"When an activist begins aiding a shrewd political advisor — also his girlfriend’s father, personal agendas lead to betrayal as love and duty clash.",2019,TV-MA
194,Seven (Tamil),"Multiple women report their husbands as missing but when it appears they are looking for the same man, a police officer traces their cryptic connection.",2019,TV-MA
195,Paharganj,"In the underbelly of a Delhi neighborhood, a woman’s search for her missing lover collides with drugs, death and a coach grappling with his demons.",2019,TV-MA
196,Made in China,"After a trip to China, a struggling entrepreneur returns to India as the supplier of an illegal aphrodisiac — but all he ends up stimulating is chaos.",2019,TV-MA
197,Albert Pinto Ko Gussa Kyun Aata Hai?,"As the police investigate his disappearance, a young man heads to Goa to carry out an act of vengeance fueled by years of pent-up anger toward society.",2019,TV-MA
